feature_id	pathway	FC_reported	FC_recomputed	log2FC_reported	log2FC_recomputed	FDR_p_reported	C8_mean	G8_mean	is_transgene	sgd_description	synonym
THI4		-64.17	-64.1698	-6.00383	-6.00382	2.3300000000000002E-37	105.53	6771.84	no	Thiazole synthase	YGR144W|ESP35|MOL1
YOR387C		-44.22	-44.2206	-5.46663	-5.46665	4.29E-8	92.78	4102.79	no	Putative protein of unknown function	YOR387C
MET17		-39.61	-39.6079	-5.30779	-5.30772	3.9300000000000001E-42	114.58	4538.27	no	O-acetyl homoserine-O-acetyl serine sulfhydrylase	YLR303W|MET15|MET25|bifunctional cysteine synthase/O-acetylhomoserine aminocarboxypropyltransferase MET17
PDC5		-38.52	-38.5265	-5.26754	-5.26778	2.1199999999999999E-173	16.96	653.41	no	Minor isoform of pyruvate decarboxylase	YLR134W|indolepyruvate decarboxylase 5
MET3		-37.84	-37.8415	-5.24184	-5.2419	6.3099999999999996E-31	32.42	1226.82	no	ATP sulfurylase	YJR010W|sulfate adenylyltransferase
VEL1		-34.05	-34.0467	-5.08958	-5.08944	1.67E-18	124.01	4222.13	no	Protein of unknown function	YGL258W
HXT1		-29.7	-29.7093	-4.89239	-4.89285	5.42E-71	9.84	292.34	no	Low-affinity glucose transporter of the major facilitator superfamily	YHR094C|HOR4
MET14		-22.13	-22.1314	-4.46793	-4.46802	5.0900000000000004E-28	69.7	1542.56	no	Adenylylsulfate kinase	YKL001C|adenylyl-sulfate kinase
SUL2		-17.11	-17.1111	-4.09677	-4.09686	1.38E-47	24.93	426.58	no	High affinity sulfate permease	YLR092W
MET5		-16.21	-16.2119	-4.01881	-4.01898	6.9899999999999999E-60	24.68	400.11	no	Sulfite reductase beta subunit	YJR137C|ECM17|sulfite reductase (NADPH) subunit beta
MET10		-14.7	-14.7045	-3.87774	-3.87818	3.9100000000000002E-51	37.12	545.83	no	Subunit alpha of assimilatory sulfite reductase	YFR030W|sulfite reductase subunit alpha
THI73		-14.2	-14.1967	-3.82782	-3.82748	2.2199999999999999E-253	55.01	780.96	no	Putative plasma membrane permease	YLR004C
MET16		-14.2	-14.1948	-3.82782	-3.82729	1.51E-52	39.64	562.68	no	3'-phosphoadenylsulfate reductase	YPR167C|phosphoadenylyl-sulfate reductase (thioredoxin)
HXT3		-13.85	-13.8511	-3.79181	-3.79192	2.72E-163	131.53	1821.83	no	Low affinity glucose transporter of the major facilitator superfamily	YDR345C
MET2		-13.49	-13.4942	-3.75382	-3.75427	1.2E-56	43.04	580.79	no	L-homoserine-O-acetyltransferase	YNL277W|homoserine O-acetyltransferase
MET6		-12.35	-12.3515	-3.62644	-3.62661	4.4599999999999997E-126	194.22	2398.9	no	Cobalamin-independent methionine synthase	YER091C|5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase
ARN2		-11.54	-11.5422	-3.52857	-3.52884	1.7700000000000001E-151	26.08	301.02	no	Transporter	YHL047C|TAF1
MET1		-11.1	-11.101	-3.47249	-3.47262	4.7299999999999997E-69	34.55	383.54	no	S-adenosyl-L-methionine uroporphyrinogen III transmethylase	YKR069W|MET20|uroporphyrinogen-III C-methyltransferase
ICY2		-11.07	-11.0702	-3.46858	-3.46861	3.8699999999999997E-207	251.65	2785.81	no	Protein of unknown function	YPL250C
THI22		-10.76	-10.7599	-3.42761	-3.42759	7.1800000000000001E-105	24.28	261.25	no	Protein with similarity to hydroxymethylpyrimidine phosphate kinases	YPR121W|putative phosphomethylpyrimidine kinase
MET8		-10.25	-10.2483	-3.35755	-3.35732	7.8900000000000004E-60	11.92	122.16	no	Bifunctional dehydrogenase and ferrochelatase	YBR213W|bifunctional precorrin-2 dehydrogenase/sirohydrochlorin ferrochelatase MET8
PHO3		-10.03	-10.0268	-3.32625	-3.32578	5.62E-90	76.61	768.15	no	Constitutively expressed acid phosphatase similar to Pho5p	YBR092C|phoC
RAD59		-9.82	-9.81772	-3.29572	-3.29539	2.22E-50	15.8	155.12	no	Protein involved DNA double-strand break repair	YDL059C
SER33		-9.56	-9.56297	-3.25701	-3.25746	1.43E-37	86.79	829.97	no	3-phosphoglycerate dehydrogenase	YIL074C|phosphoglycerate dehydrogenase SER33
SAM2		-9.24	-9.23862	-3.20789	-3.20768	7.3899999999999998E-108	95.59	883.12	no	S-adenosylmethionine synthetase	YDR502C|ETH2|methionine adenosyltransferase SAM2
YJL213W		-8.87	-8.87405	-3.14893	-3.14959	6.9899999999999999E-60	14.45	128.23	no	Protein of unknown function that may interact with ribosomes	YJL213W
PET18		-8.77	-8.77017	-3.13258	-3.1326	3.16E-28	49.08	430.44	no	Protein of unknown function	YCR020C|HIT2
MET32		-8.51	-8.51058	-3.08916	-3.08926	1.05E-33	25.05	213.19	no	Zinc-finger DNA-binding transcription factor	YDR253C
STR3		-8.35	-8.3551	-3.06178	-3.06266	2.3700000000000001E-61	16.08	134.35	no	Peroxisomal cystathionine beta-lyase	YGL184C|cystathionine beta-lyase STR3
YKL068W-A		-7.68	-7.6803	-2.94111	-2.94116	1.1099999999999999E-46	184.3	1415.48	no	Putative protein of unknown function	YKL068W-A
ARG4		-7.6	-7.59891	-2.926	-2.92579	3.7099999999999999E-135	275.95	2096.92	no	Argininosuccinate lyase	YHR018C|argininosuccinate lyase ARG4
SAM1		-7.35	-7.34731	-2.87774	-2.87722	2.3800000000000002E-129	163.57	1201.8	no	S-adenosylmethionine synthetase	YLR180W|ETH10|methionine adenosyltransferase SAM1
CYS3		-7.31	-7.31122	-2.86987	-2.87011	3.9700000000000001E-72	100.22	732.73	no	Cystathionine gamma-lyase	YAL012W|CYI1|FUN35|STR1|cystathionine gamma-lyase CYS3
RMD6		-7.09	-7.08737	-2.82579	-2.82525	3.9100000000000003E-24	23.12	163.86	no	Protein required for sporulation	YEL072W
BNA3		-7.07	-7.06686	-2.82171	-2.82107	9.1999999999999999E-36	55.19	390.02	no	Kynurenine aminotransferase	YJL060W
MET22		-6.84	-6.84163	-2.774	-2.77434	1.6399999999999999E-49	82.97	567.65	no	Bisphosphate-3'-nucleotidase	YOL064C|HAL2
YMR265C		-6.67	-6.67039	-2.73769	-2.73777	3.8400000000000001E-25	8.95	59.7	no	Putative protein of unknown function	YMR265C
FIT3		-6.38	-6.37625	-2.67356	-2.67271	9.0600000000000006E-39	595.94	3799.86	no	Mannoprotein that is incorporated into the cell wall	YOR383C
MET28		-6.36	-6.35858	-2.66903	-2.66871	1.84E-39	82.38	523.82	no	bZIP transcriptional activator in the Cbf1p-Met4p-Met28p complex	YIR017C
MUP3		-6.24	-6.24471	-2.64155	-2.64263	3.48E-20	20.8	129.89	no	Low affinity methionine permease	YHL036W
SNZ1		-6.06	-6.06293	-2.59932	-2.60002	1.03E-206	204.83	1241.87	no	Protein involved in vitamin B6 biosynthesis	YMR096W
NDJ1		-6	-6.00912	-2.58496	-2.58715	2.2099999999999999E-8	3.29	19.77	no	Meiosis-specific telomere protein	YOL104C|TAM1
THI2		-5.89	-5.88587	-2.55827	-2.55726	4.3199999999999999E-91	41.27	242.91	no	Transcriptional activator of thiamine biosynthetic genes	YBR240C|PHO6|phoF
ARG3		-5.8	-5.79553	-2.53605	-2.53494	8.1799999999999996E-159	71.6	414.96	no	Ornithine carbamoyltransferase	YJL088W|argF|ornithine carbamoyltransferase
ENB1		-5.72	-5.7248	-2.51602	-2.51723	6.9999999999999996E-47	21.33	122.11	no	Endosomal ferric enterobactin transporter	YOL158C|ARN4
ARG1		-5.71	-5.70881	-2.51349	-2.51319	0	259.62	1482.12	no	Arginosuccinate synthetase	YOL058W|ARG10|argininosuccinate synthase
GCV1		-5.68	-5.67791	-2.50589	-2.50536	6.1499999999999998E-135	88.67	503.46	no	T subunit of the mitochondrial glycine decarboxylase complex	YDR019C|GSD1|glycine decarboxylase subunit T
YNL018C		-5.54	-5.54271	-2.46989	-2.47059	7.9900000000000004E-5	1.99	11.03	no	Putative protein of unknown function	YNL018C
TPO2		-5.46	-5.46253	-2.4489	-2.44957	1.6400000000000001E-67	33.23	181.52	no	Polyamine transporter of the major facilitator superfamily	YGR138C
THI20		-5.39	-5.3902	-2.43029	-2.43034	2.5699999999999999E-35	116.99	630.6	no	Trifunctional enzyme of thiamine biosynthesis, degradation and salvage	YOL055C|trifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase/thiaminase
WSC4		-4.85	-4.85251	-2.27798	-2.27873	9.2000000000000005E-55	32.68	158.58	no	Endoplasmic reticulum (ER) membrane protein	YHL028W|YFW1|YHC8
AQY2		-4.84	-4.84074	-2.27501	-2.27523	5.21E-14	8.1	39.21	no	Water channel that mediates water transport across cell membranes	YLL052C
YHI9		-4.79	-4.78998	-2.26003	-2.26002	5.3999999999999996E-75	45.9	219.86	no	Protein of unknown function	YHR029C
YLL053C		-4.67	-4.66418	-2.22342	-2.22162	3.6700000000000001E-15	9.38	43.75	no	Putative protein	YLL053C
SST2		-4.66	-4.66512	-2.22033	-2.22191	5.7800000000000004E-14	8.6	40.12	no	GTPase-activating protein for Gpa1p	YLR452C
ARI1		-4.61	-4.60483	-2.20477	-2.20315	2.4E-31	20.27	93.34	no	NADPH-dependent aldehyde reductase	YGL157W|carbonyl reductase (NADPH-dependent) ARI1
ARG7		-4.52	-4.52002	-2.17632	-2.17633	1.28E-169	122.63	554.29	no	Mitochondrial ornithine acetyltransferase	YMR062C|ECM40|glutamate N-acetyltransferase
MUP1		-4.51	-4.51289	-2.17313	-2.17405	4.4499999999999997E-70	87.68	395.69	no	High affinity methionine permease	YGR055W
YJR005C-A		-4.51	-4.50936	-2.17313	-2.17292	1.25E-4	2.67	12.04	no	Putative protein of unknown function	YJR005C-A
ARG5,6		-4.42	-4.422	-2.14405	-2.1447	3.1100000000000001E-120	84.81	375.03	no	Acetylglutamate kinase and N-acetyl-gamma-glutamyl-phosphate reductase	YER069W|bifunctional acetylglutamate kinase/N-acetyl-gamma-glutamyl-phosphate reductase
GCV2		-4.41	-4.40642	-2.14078	-2.13961	4.3000000000000002E-49	34.57	152.33	no	P subunit of the mitochondrial glycine decarboxylase complex	YMR189W|GSD2|glycine decarboxylase subunit P
LYS1		-4.4	-4.40106	-2.1375	-2.13785	1.4199999999999999E-113	80.76	355.43	no	Saccharopine dehydrogenase (NAD+, L-lysine-forming)	YIR034C|saccharopine dehydrogenase (NAD+, L-lysine-forming)
FCY22		-4.39	-4.39461	-2.13422	-2.13574	1.43E-12	8.54	37.53	no	Putative purine-cytosine permease	YER060W-A
TMT1		-4.39	-4.38999	-2.13422	-2.13422	1.27E-111	79.72	349.97	no	Trans-aconitate methyltransferase	YER175C|TAM1
ARN1		-4.36	-4.3619	-2.12433	-2.12496	6.9700000000000004E-39	27.77	121.13	no	ARN family transporter for siderophore-iron chelates	YHL040C
MET13		-4.33	-4.32972	-2.11437	-2.11427	8.2500000000000001E-46	33.24	143.92	no	Major isozyme of methylenetetrahydrofolate reductase	YGL125W|MET11|MRPL45|methylenetetrahydrofolate reductase (NAD(P)H) MET13
FET3		-4.33	-4.32753	-2.11437	-2.11354	9.8400000000000001E-32	90.8	392.94	no	Ferro-O2-oxidoreductase	YMR058W
YHR112C		-4.27	-4.26655	-2.09424	-2.09307	6.81E-42	101.37	432.5	no	Protein of unknown function	YHR112C|putative cystathionine beta-lyase
AGA1		-4.23	-4.2255	-2.08066	-2.07912	5.2499999999999998E-13	9.49	40.1	no	Anchorage subunit of a-agglutinin of a-cells	YNR044W
YIL163C		-4.22	-4.22706	-2.07724	-2.07966	2.2299999999999998E-6	4.36	18.43	no	Protein of unknown function	YIL163C
NIT1		-4.21	-4.20885	-2.07382	-2.07343	4.6199999999999998E-42	32.08	135.02	no	Nitrilase	YIL164C
YPL264C		-4.18	-4.17907	-2.0635	-2.06318	1.46E-22	17.2	71.88	no	Putative membrane protein of unknown function	YPL264C
MIG2		-4.13	-4.12985	-2.04614	-2.04609	3.8599999999999998E-21	25.49	105.27	no	Zinc finger transcriptional repressor	YGL209W|MLZ1
YLR179C		-4.07	-4.07252	-2.02503	-2.02592	0	633.35	2579.33	no	Protein of unknown function with similarity to Tfs1p	YLR179C
FIT2		-4.06	-4.06287	-2.02148	-2.0225	9.6300000000000003E-44	447.94	1819.92	no	Mannoprotein that is incorporated into the cell wall	YOR382W
SNO1		-4.06	-4.05554	-2.02148	-2.01989	3.8700000000000001E-37	30.25	122.68	no	Protein of unconfirmed function	YMR095C
CPA2		-4.04	-4.03894	-2.01436	-2.01398	2.6E-87	72.42	292.5	no	Large subunit of carbamoyl phosphate synthetase	YJR109C|carbamoyl-phosphate synthase (glutamine-hydrolyzing) CPA2
STD1		-4.02	-4.0213	-2.0072	-2.00766	2.15E-27	22.53	90.6	no	Protein involved in control of glucose-regulated gene expression	YOR047C|MSN3|SFS3
HXT4		-4.01	-4.00802	-2.0036	-2.00289	7.9799999999999998E-17	13.72	54.99	no	High-affinity glucose transporter	YHR092C|LGT1|RAG1
SAM3		-3.95	-3.95264	-1.98185	-1.98282	1.9000000000000001E-147	127.75	504.95	no	High-affinity S-adenosylmethionine permease	YPL274W
SHM2		-3.95	-3.94779	-1.98185	-1.98105	9.8499999999999995E-126	357.23	1410.27	no	Cytosolic serine hydroxymethyltransferase	YLR058C|SHMT2|glycine hydroxymethyltransferase SHM2
HOM3		-3.95	-3.94639	-1.98185	-1.98053	4.6300000000000003E-188	163.59	645.59	no	Aspartate kinase (L-aspartate 4-P-transferase)	YER052C|BOR1|SIL4|THR3|aspartate kinase
YAR009C		-3.94	-3.93484	-1.9782	-1.97631	9.3900000000000006E-5	3.53	13.89	no	Retrotransposon TYA Gag and TYB Pol genes	YAR009C|YARCTyB1-1|truncated gag-pol fusion protein
YEL073C		-3.92	-3.91997	-1.97085	-1.97084	4.5399999999999999E-38	59.98	235.12	no	Putative protein of unknown function	YEL073C
GSH1		-3.82	-3.82015	-1.93357	-1.93363	4.6699999999999998E-36	32.86	125.53	no	Gamma glutamylcysteine synthetase	YJL101C|glutamate--cysteine ligase
SIT1		-3.79	-3.79025	-1.9222	-1.92229	2.16E-55	63.41	240.34	no	Ferrioxamine B transporter	YEL065W|ARN3
GRX8		-3.76	-3.75668	-1.91073	-1.90946	3.4700000000000002E-17	40.44	151.92	no	Glutaredoxin that employs a dithiol mechanism of catalysis	YLR364W|glutathione-disulfide reductase GRX8
YIL165C		-3.73	-3.725	-1.89918	-1.89724	7.7699999999999997E-39	37.2	138.57	no	Putative protein of unknown function	YIL165C
MF(ALPHA)2		-3.66	-3.6578	-1.87184	-1.87098	2.14E-17	16.92	61.89	no	Mating pheromone alpha-factor, made by alpha cells	YGL089C
YOR032W-A		-3.58	-3.58104	-1.83996	-1.84038	7.4600000000000003E-4	3.27	11.71	no	Protein of unknown function	YOR032W-A
YLR227W-B		-3.57	-3.5733	-1.83592	-1.83726	1.29E-8	8.39	29.98	no	Retrotransposon TYA Gag and TYB Pol genes	YLR227W-B|gag-pol fusion protein
SAG1		-3.57	-3.56658	-1.83592	-1.83454	2.2E-28	29.44	105	no	Alpha-agglutinin of alpha-cells	YJR004C|AG(ALPHA)1
YJR027W		-3.54	-3.53913	-1.82375	-1.82339	6.0700000000000001E-4	3.45	12.21	no	Retrotransposon TYA Gag and TYB Pol genes	YJR027W|gag-pol fusion protein
MCH4		-3.48	-3.47605	-1.79909	-1.79745	1.29E-40	44.68	155.31	no	Protein with similarity to mammalian monocarboxylate permeases	YOL119C
IMD2		-3.47	-3.47331	-1.79494	-1.79631	5.9399999999999998E-19	68.94	239.45	no	Inosine monophosphate dehydrogenase	YHR216W|IMP dehydrogenase IMD2|PUR5
YMR045C		-3.47	-3.4709	-1.79494	-1.79531	8.7799999999999997E-11	11.34	39.36	no	Retrotransposon TYA Gag and TYB Pol genes	YMR045C|gag-pol fusion protein
CYS4		-3.47	-3.46864	-1.79494	-1.79437	4.01E-142	248.27	861.16	no	Cystathionine beta-synthase	YGR155W|NHS5|STR4|VMA41|cystathionine beta-synthase CYS4
ZRT2		-3.45	-3.45152	-1.7866	-1.78723	3.8300000000000002E-139	219.7	758.3	no	Low-affinity zinc transporter of the plasma membrane	YLR130C|low-affinity Zn(2+) transporter ZRT2
TRP4		-3.44	-3.44115	-1.78241	-1.78289	7.1899999999999996E-93	127.87	440.02	no	Anthranilate phosphoribosyl transferase	YDR354W|anthranilate phosphoribosyltransferase
MMP1		-3.41	-3.40682	-1.76977	-1.76842	9.2900000000000003E-17	18.78	63.98	no	High-affinity S-methylmethionine permease	YLL061W
MFA2		-3.4	-3.39556	-1.76553	-1.76365	3.9199999999999997E-9	9.91	33.65	no	Mating pheromone a-factor	YNL145W
ODC2		-3.39	-3.39358	-1.76129	-1.76281	6.8099999999999997E-53	61.36	208.23	no	Mitochondrial inner membrane transporter	YOR222W
YDR261C-D		-3.38	-3.38832	-1.75702	-1.76057	4.4099999999999999E-4	3.94	13.35	no	Retrotransposon TYA Gag and TYB Pol genes	YDR261C-D|gag-pol fusion protein
UGA3		-3.38	-3.37642	-1.75702	-1.7555	3.4599999999999998E-50	58.79	198.5	no	Transcriptional activator for GABA-dependent induction of GABA genes	YDL170W
SDT1		-3.36	-3.36035	-1.74846	-1.74861	2.97E-32	37.88	127.29	no	Pyrimidine nucleotidase	YGL224C|SSM1
GTO1		-3.35	-3.35294	-1.74416	-1.74543	1.1E-20	24.14	80.94	no	Omega-class glutathione transferase	YGR154C
SPO22		-3.35	-3.34921	-1.74416	-1.74382	5.2800000000000003E-8	8.82	29.54	no	Meiosis-specific protein essential for chromosome synapsis	YIL073C|ZIP4
AMN1		-3.33	-3.33396	-1.73552	-1.73724	1.2E-61	74.32	247.78	no	Protein required for daughter cell separation	YBR158W|CST13|ICS4
SIP4		-3.33	-3.32795	-1.73552	-1.73463	8.8899999999999996E-6	6.19	20.6	no	C6 zinc cluster transcriptional activator	YJL089W
HIS1		-3.31	-3.30939	-1.72683	-1.72657	2.51E-194	239.73	793.36	no	ATP phosphoribosyltransferase	YER055C|ATP phosphoribosyltransferase
YGL117W		-3.3	-3.30386	-1.72247	-1.72415	2.12E-181	271.05	895.51	no	Putative protein of unknown function	YGL117W
QDR2		-3.3	-3.3033	-1.72247	-1.72391	1.33E-81	100.56	332.18	no	Plasma membrane transporter of the major facilitator superfamily	YIL121W
TRP3		-3.3	-3.30061	-1.72247	-1.72273	2.23E-71	88.02	290.52	no	Indole-3-glycerol-phosphate synthase	YKL211C|bifunctional anthranilate synthase/indole-3-glycerol-phosphate synthase
SMF3		-3.29	-3.29098	-1.71809	-1.71852	4.3E-31	45.88	150.99	no	Putative divalent metal ion transporter involved in iron homeostasis	YLR034C|putative divalent metal ion transporter SMF3
RIB5		-3.28	-3.28317	-1.7137	-1.71509	2.53E-162	203.48	668.06	no	Riboflavin synthase	YBR256C|riboflavin synthase
YCT1		-3.27	-3.2738	-1.70929	-1.71097	7.6699999999999994E-21	29.73	97.33	no	High-affinity cysteine-specific transporter	YLL055W
SER1		-3.26	-3.2594	-1.70487	-1.70461	2.66E-180	254.05	828.05	no	3-phosphoserine aminotransferase	YOR184W|ADE9|O-phospho-L-serine:2-oxoglutarate transaminase
PMU1		-3.26	-3.25535	-1.70487	-1.70281	8.0700000000000007E-34	42.49	138.32	no	Putative phosphomutase	YKL128C
MIG3		-3.25	-3.251	-1.70044	-1.70089	1.9000000000000001E-8	9.96	32.38	no	Transcriptional regulator	YER028C
DLD3		-3.23	-3.22639	-1.69153	-1.68992	2.0900000000000002E-214	932.04	3007.12	no	D-lactate dehydrogenase	YEL071W
DUR3		-3.22	-3.2196	-1.68706	-1.68688	8.98E-9	10.61	34.16	no	Plasma membrane transporter for both urea and polyamines	YHL016C
FMP23		-3.2	-3.20106	-1.67807	-1.67855	4.8599999999999999E-32	41.68	133.42	no	Putative protein of unknown function	YBR047W
YNL284C-B		-3.19	-3.1922	-1.67356	-1.67455	1.06E-13	17.43	55.64	no	Retrotransposon TYA Gag and TYB Pol genes	YNL284C-B|gag-pol fusion protein
MHT1		-3.17	-3.1676	-1.66448	-1.66339	1.7200000000000001E-16	21.54	68.23	no	S-methylmethionine-homocysteine methyltransferase	YLL062C
YML018C		-3.1	-3.10157	-1.63227	-1.633	3.0299999999999999E-58	81.91	254.05	no	Protein of unknown function	YML018C
YDR170W-A		-3.1	-3.09727	-1.63227	-1.631	1.75E-22	31.15	96.48	no	Retrotransposon TYA Gag gene	YDR170W-A|gag protein
FMO1		-3.09	-3.09323	-1.62761	-1.62911	1.15E-20	28.64	88.59	no	Flavin-containing monooxygenase	YHR176W
PAU4		-3.08	-3.08235	-1.62293	-1.62403	1.33E-6	8.5	26.2	no	Member of the seripauperin multigene family	YLR461W
IES5		-3.06	-3.05895	-1.61353	-1.61303	3.9600000000000002E-66	96.02	293.72	no	Protein that associates with the INO80 chromatin remodeling complex	YER092W
LYS20		-3.06	-3.0558	-1.61353	-1.61155	3.8499999999999999E-74	269.19	822.59	no	Homocitrate synthase isozyme	YDL182W|homocitrate synthase LYS20
SEO1		-3.04	-3.03806	-1.60407	-1.60315	1.9399999999999999E-9	16.29	49.49	no	Putative permease	YAL067C
PMP2		-3.02	-3.02102	-1.59455	-1.59504	3.2099999999999998E-79	118.45	357.84	no	Proteolipid associated with plasma membrane H(+)-ATPase (Pma1p)	YEL017C-A
PHO84		-3.02	-3.01752	-1.59455	-1.59337	9.3199999999999993E-19	27.39	82.65	no	High-affinity inorganic phosphate (Pi) transporter	YML123C|phoT
YCR100C		-3.01	-3.01328	-1.58976	-1.59133	3.6600000000000002E-7	9.79	29.5	no	Putative protein of unknown function	YCR100C
HMS2		-3	-2.99668	-1.58496	-1.58336	2.5300000000000002E-16	24.08	72.16	no	Protein with similarity to heat shock transcription factors	YJR147W
STE3		-2.99	-2.99245	-1.58015	-1.58133	1.05E-18	27.83	83.28	no	Receptor for a factor pheromone	YKL178C|DAF2
LEU4		-2.98	-2.97539	-1.57531	-1.57308	3.71E-214	333.17	991.31	no	Alpha-isopropylmalate synthase (2-isopropylmalate synthase)	YNL104C|2-isopropylmalate synthase LEU4
DAN1		-2.96	-2.9647	-1.5656	-1.56789	2.3500000000000001E-81	685.64	2032.72	no	Cell wall mannoprotein	YJR150C|CCW13
THI7		-2.96	-2.96108	-1.5656	-1.56612	1.7100000000000001E-85	284.91	843.64	no	Plasma membrane transporter responsible for the uptake of thiamine	YLR237W|THI10
YJR111C		-2.96	-2.95678	-1.5656	-1.56403	2.84E-40	62.7	185.39	no	Putative protein of unknown function	YJR111C
TEA1		-2.93	-2.92837	-1.5509	-1.5501	9.770000000000001E-16	24.43	71.54	no	Ty1 enhancer activator involved in Ty enhancer-mediated transcription	YOR337W
MNN4		-2.92	-2.91884	-1.54597	-1.54539	1.49E-18	29.2	85.23	no	Putative positive regulator of mannosylphosphate transferase Mnn6p	YKL201C|YKL200C
TPN1		-2.91	-2.91376	-1.54102	-1.54288	9.6600000000000002E-34	54.15	157.78	no	Plasma membrane pyridoxine (vitamin B6) transporter	YGL186C
LEU1		-2.91	-2.91327	-1.54102	-1.54264	1.22E-189	309.46	901.54	no	Isopropylmalate isomerase	YGL009C|3-isopropylmalate dehydratase LEU1
DUG3		-2.9	-2.90227	-1.53605	-1.53718	7.9500000000000006E-24	38.27	111.07	no	Component of glutamine amidotransferase (GATase II)	YNL191W|glutamine amidotransferase subunit DUG3
YOR302W		-2.9	-2.90203	-1.53605	-1.53706	1.8700000000000001E-100	164.85	478.4	no	CPA1 uORF	YOR302W
BSC5		-2.88	-2.87688	-1.52607	-1.5245	3.5700000000000001E-10	16	46.03	no	Protein of unknown function	YNR069C|BUL3
GGC1		-2.87	-2.86659	-1.52105	-1.51934	2.43E-55	92.95	266.45	no	Mitochondrial GTP/GDP transporter	YDL198C|SHM1|YHM1
ADE3		-2.85	-2.84521	-1.51096	-1.50854	8.2400000000000006E-121	207.83	591.32	no	Cytoplasmic trifunctional enzyme C1-tetrahydrofolate synthase	YGR204W|trifunctional formate-tetrahydrofolate ligase/methenyltetrahydrofolate cyclohydrolase/methylenetetrahydrofolate dehydrogenase ADE3
IDP1		-2.83	-2.83206	-1.5008	-1.50185	9.5299999999999999E-58	142.67	404.05	no	Mitochondrial NADP-specific isocitrate dehydrogenase	YDL066W|isocitrate dehydrogenase (NADP(+)) IDP1
ZRT3		-2.82	-2.8246	-1.4957	-1.49805	2.9700000000000001E-59	191.05	539.64	no	Vacuolar membrane zinc transporter	YKL175W|Zn(2+) transporter ZRT3
PRM5		-2.82	-2.81772	-1.4957	-1.49453	2.04E-26	45.59	128.46	no	Pheromone-regulated protein, predicted to have 1 transmembrane segment	YIL117C
ORT1		-2.82	-2.81658	-1.4957	-1.49394	5.2100000000000003E-24	41.38	116.55	no	Ornithine transporter of the mitochondrial inner membrane	YOR130C|ARG11
YMC2		-2.81	-2.81024	-1.49057	-1.49069	5.2799999999999997E-33	57.6	161.87	no	Putative mitochondrial inner membrane transporter	YBR104W
URA4		-2.76	-2.76343	-1.46467	-1.46646	1.09E-29	53.81	148.7	no	Dihydroorotase	YLR420W|dihydroorotase
THI72		-2.76	-2.7566	-1.46467	-1.46289	3.2200000000000003E-10	17.79	49.04	no	Transporter of thiamine or related compound	YOR192C
ASN1		-2.75	-2.75088	-1.45943	-1.45989	1.3400000000000001E-118	221.02	608	no	Asparagine synthetase	YPR145W|asparagine synthase (glutamine-hydrolyzing) 1
EST3		-2.74	-2.7433	-1.45418	-1.45591	1.2799999999999999E-21	39.58	108.58	no	Component of the telomerase holoenzyme	YIL009C-A
FTR1		-2.73	-2.73257	-1.4489	-1.45026	1.2700000000000001E-24	440.82	1204.57	no	High affinity iron permease	YER145C
FUS1		-2.73	-2.73163	-1.4489	-1.44976	1.74E-7	12.93	35.32	no	Membrane protein localized to the shmoo tip	YCL027W
URA1		-2.72	-2.72455	-1.44361	-1.44602	3.15E-102	234.67	639.37	no	Dihydroorotate dehydrogenase	YKL216W|dihydroorotate dehydrogenase
YOL107W		-2.72	-2.72187	-1.44361	-1.4446	1.27E-5	9.42	25.64	no	Putative protein of unknown function	YOL107W
OPT1		-2.7	-2.70077	-1.43296	-1.43337	4.9199999999999997E-8	14.37	38.81	no	Proton-coupled oligopeptide transporter of the plasma membrane	YJL212C|GSH11|HGT1
YCR101C		-2.69	-2.68825	-1.42761	-1.42667	6.2199999999999994E-5	8.34	22.42	no	Putative protein of unknown function	YCR101C
HIS3		-2.68	-2.68106	-1.42223	-1.4228	9.4000000000000006E-36	8023.97	21512.7	no	Imidazoleglycerol-phosphate dehydratase	YOR202W|HIS10|HIS8|imidazoleglycerol-phosphate dehydratase HIS3
SUL1		-2.67	-2.67434	-1.41684	-1.41918	1.3999999999999999E-9	30.83	82.45	no	High affinity sulfate permease of the SulP anion transporter family	YBR294W|SFP2
POP1		-2.67	-2.6681	-1.41684	-1.41581	8.8700000000000004E-17	32.6	86.98	no	Subunit of both RNase MRP and nuclear RNase P	YNL221C
AAD14		-2.66	-2.66357	-1.41143	-1.41336	3.5800000000000002E-18	35.55	94.69	no	Putative aryl-alcohol dehydrogenase	YNL331C
GCV3		-2.65	-2.65151	-1.40599	-1.40682	2.9900000000000002E-102	415.94	1102.87	no	H subunit of the mitochondrial glycine decarboxylase complex	YAL044C|glycine decarboxylase subunit H
OAC1		-2.65	-2.64531	-1.40599	-1.40344	3.7200000000000002E-93	191.83	507.45	no	Mitochondrial inner membrane transporter	YKL120W
YCR099C		-2.64	-2.64291	-1.40054	-1.40213	4.34E-7	13.19	34.86	no	Putative protein of unknown function	YCR099C
ADH5		-2.64	-2.63751	-1.40054	-1.39918	2.4800000000000001E-39	125.19	330.19	no	Alcohol dehydrogenase isoenzyme V	YBR145W|alcohol dehydrogenase ADH5
